MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km)
2007,ACURA,CSX,COMPACT,2,4,AS5,X,10.9,7.8,9.5,30,219
2007,ACURA,CSX,COMPACT,2,4,M5,X,10,7.6,8.9,32,205
2007,ACURA,CSX,COMPACT,2,4,M6,Z,11.6,8.1,10,28,230
2007,ACURA,MDX AWD,SUV,3.7,6,AS5,Z,15.4,11.8,13.8,20,317
2007,ACURA,RDX AWD TURBO,SUV,2.3,4,AS5,Z,14,11,12.7,22,292
2007,ACURA,RL AWD,MID-SIZE,3.5,6,AS5,Z,14.5,9.9,12.4,23,285
2007,ACURA,TL,MID-SIZE,3.2,6,AS5,Z,13.1,8.9,11.2,25,258
2007,ACURA,TL,MID-SIZE,3.5,6,AS5,Z,13.8,9.3,11.8,24,271
2007,ACURA,TL,MID-SIZE,3.5,6,M6,Z,13.1,8.7,11.1,25,255
2007,ACURA,TSX,COMPACT,2.4,4,AS5,Z,11.9,8.3,10.3,27,237
2007,ACURA,TSX,COMPACT,2.4,4,M6,Z,12.2,8.6,10.6,27,244
2007,ASTON MARTIN,DB9 COUPE,MINICOMPACT,5.9,12,AS6,Z,21.2,13.3,17.6,16,405
2007,ASTON MARTIN,DB9 COUPE,MINICOMPACT,5.9,12,M6,Z,23,14.4,19.1,15,439
2007,ASTON MARTIN,DB9 VOLANTE,MINICOMPACT,5.9,12,AS6,Z,20.7,13.8,17.6,16,405
2007,ASTON MARTIN,DB9 VOLANTE,MINICOMPACT,5.9,12,M6,Z,23,14.4,19.1,15,439
2007,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.3,8,AM6,Z,17.9,11.9,15.2,19,350
2007,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.3,8,M6,Z,19,12.7,16.2,17,373
2007,AUDI,A3,STATION WAGON - SMALL,2,4,AS6,Z,10.6,8.2,9.6,29,221
2007,AUDI,A3,STATION WAGON - SMALL,2,4,M6,Z,11.5,8.1,10,28,230
2007,AUDI,A3 QUATTRO,STATION WAGON - SMALL,3.2,6,AS6,Z,12.8,9.5,11.3,25,260
2007,AUDI,A4,COMPACT,2,4,AV,Z,11.2,8,9.7,29,223
2007,AUDI,A4,COMPACT,2,4,M6,Z,11.6,7.5,9.8,29,225
2007,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,2,4,AS6,Z,12.2,8.6,10.6,27,244
2007,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,2,4,M6,Z,12,8.3,10.4,27,239
2007,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3.1,6,AS6,Z,13.6,9.5,11.8,24,271
2007,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3.1,6,M6,Z,15.2,9.6,12.7,22,292
2007,AUDI,A4 CABRIOLET,SUBCOMPACT,2,4,AV,Z,11.2,8,9.7,29,223
2007,AUDI,A4 CABRIOLET,COMPACT,3.1,6,AS6,Z,14,9.6,12,24,276
2007,AUDI,A4 QUATTRO,COMPACT,2,4,AS6,Z,12.2,8.6,10.6,27,244
2007,AUDI,A4 QUATTRO,COMPACT,2,4,M6,Z,12,8.3,10.4,27,239
2007,AUDI,A4 QUATTRO,COMPACT,3.1,6,AS6,Z,13.6,9.5,11.8,24,271
2007,AUDI,A4 QUATTRO,COMPACT,3.1,6,M6,Z,15.2,9.6,12.7,22,292
2007,AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,3.1,6,AS6,Z,14,9.6,12,24,276
2007,AUDI,A6 QUATTRO,MID-SIZE,3.1,6,AS6,Z,13.6,9.5,11.8,24,271
2007,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,AS6,Z,14.7,10.4,12.8,22,294
2007,AUDI,A8,MID-SIZE,4.2,8,AS6,Z,14.7,10.4,12.8,22,294
2007,AUDI,A8 L,FULL-SIZE,4.2,8,AS6,Z,14.7,10.4,12.8,22,294
2007,AUDI,A8 L,FULL-SIZE,6,12,AS6,Z,18.2,12.2,15.5,18,357
2007,AUDI,Q7,SUV,3.6,6,AS6,Z,16.8,12.9,15.1,19,347
2007,AUDI,Q7,SUV,4.2,8,AS6,Z,19,13.5,16.5,17,380
2007,AUDI,RS4,COMPACT,4.2,8,M6,Z,18.6,11.9,15.6,18,359
2007,AUDI,S4,COMPACT,4.2,8,AS6,Z,17.1,11.2,14.5,19,334
2007,AUDI,S4,COMPACT,4.2,8,M6,Z,17.8,12,15.2,19,350
2007,AUDI,S4 AVANT,STATION WAGON - SMALL,4.2,8,AS6,Z,17.2,11.2,14.5,19,334
2007,AUDI,S4 AVANT,STATION WAGON - SMALL,4.2,8,M6,Z,17.8,12,15.2,19,350
2007,AUDI,S4 CABRIOLET,SUBCOMPACT,4.2,8,AS6,Z,17.2,11.2,14.5,19,334
2007,AUDI,S4 CABRIOLET,SUBCOMPACT,4.2,8,M6,Z,18,12.1,15.3,18,352
2007,AUDI,S6,MID-SIZE,5.2,10,AS6,Z,16.9,12.2,14.8,19,340
2007,AUDI,S8,FULL-SIZE,5.2,10,AS6,Z,17.7,12.1,15.2,19,350
2007,BENTLEY,ARNAGE,MID-SIZE,6.7,8,AS6,Z,24.5,15.8,20.6,14,474
2007,BENTLEY,AZURE,MID-SIZE,6.7,8,AS6,Z,24.5,15.8,20.6,14,474
2007,BENTLEY,CONTINENTAL FLYING SPUR,MID-SIZE,6,12,AS6,Z,23,13.9,18.9,15,435
2007,BENTLEY,CONTINENTAL GT,COMPACT,6,12,AS6,Z,22.4,13.6,18.5,15,426
2007,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6,12,AS6,Z,23,13.9,18.9,15,435
2007,BMW,323i,COMPACT,2.5,6,A6,Z,12.7,8,10.6,27,244
2007,BMW,323i,COMPACT,2.5,6,M6,Z,12.6,8.2,10.6,27,244
2007,BMW,328i,COMPACT,3,6,A6,Z,12.8,8.5,10.8,26,248
2007,BMW,328i,COMPACT,3,6,M6,Z,13.2,8.6,11.1,25,255
2007,BMW,328i CABRIOLET,SUBCOMPACT,3,6,A6,Z,13,8.7,11,26,253
2007,BMW,328i CABRIOLET,SUBCOMPACT,3,6,M6,Z,13.2,9.1,11.4,25,262
2007,BMW,328i COUPE,SUBCOMPACT,3,6,A6,Z,12.8,8.5,10.8,26,248
2007,BMW,328i COUPE,SUBCOMPACT,3,6,M6,Z,13.2,8.6,11.1,25,255
2007,BMW,328xi,COMPACT,3,6,A6,Z,13.2,9.4,11.5,25,265
2007,BMW,328xi,COMPACT,3,6,M6,Z,13.7,9.1,11.7,24,269
2007,BMW,328xi COUPE,SUBCOMPACT,3,6,A6,Z,13.2,9.4,11.5,25,265
2007,BMW,328xi COUPE,SUBCOMPACT,3,6,M6,Z,13.7,9.1,11.7,24,269
2007,BMW,328xi TOURING,STATION WAGON - SMALL,3,6,A6,Z,13.2,9.4,11.5,25,265
2007,BMW,328xi TOURING,STATION WAGON - SMALL,3,6,M6,Z,13.7,9.1,11.7,24,269
2007,BMW,335i,COMPACT,3,6,A6,Z,13.7,9.3,11.7,24,269
2007,BMW,335i,COMPACT,3,6,M6,Z,14,9,11.8,24,271
2007,BMW,335i CABRIOLET,SUBCOMPACT,3,6,A6,Z,13.7,9.3,11.7,24,269
2007,BMW,335i CABRIOLET,SUBCOMPACT,3,6,M6,Z,14,9,11.8,24,271
2007,BMW,335i COUPE,SUBCOMPACT,3,6,A6,Z,13.7,9.3,11.7,24,269
2007,BMW,335i COUPE,SUBCOMPACT,3,6,M6,Z,14,9,11.8,24,271
2007,BMW,335xi,COMPACT,3,6,A6,Z,13.7,9.5,11.8,24,271
2007,BMW,335xi,COMPACT,3,6,M6,Z,14,9.4,11.9,24,274
2007,BMW,525i,MID-SIZE,3,6,A6,Z,12.8,8.5,10.8,26,248
2007,BMW,525i,MID-SIZE,3,6,M6,Z,13.2,8.6,11.1,25,255
2007,BMW,525xi,MID-SIZE,3,6,A6,Z,13.2,9.4,11.5,25,265
2007,BMW,525xi,MID-SIZE,3,6,M6,Z,13.7,9.1,11.7,24,269
2007,BMW,530i,MID-SIZE,3,6,A6,Z,12.8,8.5,10.8,26,248
2007,BMW,530i,MID-SIZE,3,6,M6,Z,13.2,8.6,11.1,25,255
2007,BMW,530xi,MID-SIZE,3,6,A6,Z,13.2,9.4,11.5,25,265
2007,BMW,530xi,MID-SIZE,3,6,M6,Z,13.7,9.1,11.7,24,269
2007,BMW,530xi TOURING,STATION WAGON - MID-SIZE,3,6,A6,Z,13.2,9.4,11.5,25,265
2007,BMW,530xi TOURING,STATION WAGON - MID-SIZE,3,6,M6,Z,13.7,9.1,11.7,24,269
2007,BMW,550i,MID-SIZE,4.8,8,A6,Z,14.8,9.8,12.6,22,290
2007,BMW,550i,MID-SIZE,4.8,8,M6,Z,16.5,11,14,20,322
2007,BMW,650i CABRIOLET,SUBCOMPACT,4.8,8,A6,Z,15.4,10.3,13.1,22,301
2007,BMW,650i CABRIOLET,SUBCOMPACT,4.8,8,M6,Z,18,11.8,15.2,19,350
2007,BMW,650i COUPE,SUBCOMPACT,4.8,8,A6,Z,14.8,9.8,12.6,22,290
2007,BMW,650i COUPE,SUBCOMPACT,4.8,8,M6,Z,16.5,11,14,20,322
2007,BMW,750i,FULL-SIZE,4.8,8,A6,Z,15.4,10.3,13.1,22,301
2007,BMW,750Li,FULL-SIZE,4.8,8,A6,Z,15.4,10.3,13.1,22,301
2007,BMW,760Li,FULL-SIZE,6,12,A6,Z,17.7,11.3,14.8,19,340
2007,BMW,ALPINA B7,FULL-SIZE,4.4,8,A6,Z,17.1,11,14.4,20,331
2007,BMW,M COUPE,TWO-SEATER,3.2,6,M6,Z,16.2,10.6,13.7,21,315
2007,BMW,M ROADSTER,TWO-SEATER,3.2,6,M6,Z,16.2,10.6,13.7,21,315
2007,BMW,M5,MID-SIZE,5,10,AM7,Z,20.3,12.9,17,17,391
2007,BMW,M5,MID-SIZE,5,10,M6,Z,21.9,13.9,18.3,15,421
2007,BMW,M6 CABRIOLET,SUBCOMPACT,5,10,AM7,Z,19.9,12.7,16.6,17,382
2007,BMW,M6 CABRIOLET,SUBCOMPACT,5,10,M6,Z,22.3,13.7,18.5,15,426
2007,BMW,M6 COUPE,SUBCOMPACT,5,10,AM7,Z,20.3,12.9,17,17,391
2007,BMW,M6 COUPE,SUBCOMPACT,5,10,M6,Z,21.9,13.9,18.3,15,421
2007,BMW,X3 3.0i,SUV,3,6,A6,Z,13.7,9.9,12,24,276
2007,BMW,X3 3.0i,SUV,3,6,M6,Z,14,9.7,12.1,23,278
2007,BMW,X3 3.0si,SUV,3,6,A6,Z,13.7,9.9,12,24,276
2007,BMW,X3 3.0si,SUV,3,6,M6,Z,14,9.7,12.1,23,278
2007,BMW,X5 3.0si,SUV,3,6,A6,Z,15.2,11,13.3,21,306
2007,BMW,X5 4.8i,SUV,4.8,8,A6,Z,17.7,12,15.1,19,347
2007,BMW,Z4 3.0i,TWO-SEATER,3,6,A6,Z,12.8,8.5,10.8,26,248
2007,BMW,Z4 3.0i,TWO-SEATER,3,6,M6,Z,13.2,8.6,11.1,25,255
2007,BMW,Z4 3.0si,TWO-SEATER,3,6,A6,Z,12.8,8.5,10.8,26,248
2007,BMW,Z4 3.0si,TWO-SEATER,3,6,M6,Z,13.2,8.6,11.1,25,255
2007,BUICK,ALLURE,MID-SIZE,3.6,6,A4,X,13.9,9.5,11.9,24,274
2007,BUICK,ALLURE,MID-SIZE,3.8,6,A4,X,13.7,8.8,11.5,25,265
2007,BUICK,LUCERNE,FULL-SIZE,3.8,6,A4,X,13.7,8.8,11.5,25,265
2007,BUICK,LUCERNE,FULL-SIZE,4.6,8,A4,Z,15.4,10.4,13.2,21,304
2007,BUICK,RAINIER AWD,SUV,4.2,6,A4,X,17,11.9,14.7,19,338
2007,BUICK,RAINIER AWD,SUV,5.3,8,A4,X,17.1,12,14.8,19,340
2007,BUICK,RENDEZVOUS,SUV,3.5,6,A4,X,14.2,10.1,12.3,23,283
2007,BUICK,TERRAZA,MINIVAN,3.9,6,A4,X,14.7,10.1,12.6,22,290
2007,BUICK,TERRAZA FFV,MINIVAN,3.9,6,A4,X,14.8,10.1,12.7,22,292
2007,BUICK,TERRAZA FFV,MINIVAN,3.9,6,A4,E,19.7,13.5,16.9,17,270
2007,CADILLAC,CTS,MID-SIZE,2.8,6,AS5,X,14.7,9.6,12.4,23,285
2007,CADILLAC,CTS,MID-SIZE,2.8,6,M6,X,15.2,9.5,12.6,22,290
2007,CADILLAC,CTS,MID-SIZE,3.6,6,AS5,X,15,9.4,12.5,23,288
2007,CADILLAC,CTS,MID-SIZE,3.6,6,M6,X,15.7,9.7,13,22,299
2007,CADILLAC,CTS,MID-SIZE,6,8,M6,Z,17,10.9,14.2,20,327
2007,CADILLAC,DTS,FULL-SIZE,4.6,8,A4,Z,15.4,10.4,13.2,21,304
2007,CADILLAC,ESCALADE AWD,SUV,6.2,8,A6,Z,19.6,12.7,16.5,17,380
2007,CADILLAC,SRX,SUV,3.6,6,AS5,X,16,10.5,13.5,21,311
2007,CADILLAC,SRX,SUV,4.6,8,AS6,Z,17.6,11.4,14.8,19,340
2007,CADILLAC,SRX AWD,SUV,3.6,6,AS5,X,16.6,11.1,14.1,20,324
2007,CADILLAC,SRX AWD,SUV,4.6,8,AS6,Z,17.8,11.8,15.1,19,347
2007,CADILLAC,STS,MID-SIZE,3.6,6,AS5,X,15,9.4,12.5,23,288
2007,CADILLAC,STS,MID-SIZE,4.4,8,AS6,Z,19.3,12.2,16.1,18,370
2007,CADILLAC,STS,MID-SIZE,4.6,8,AS6,Z,15.7,9.6,13,22,299
2007,CADILLAC,STS AWD,MID-SIZE,3.6,6,AS5,X,15.4,10.3,13.1,22,301
2007,CADILLAC,STS AWD,MID-SIZE,4.6,8,AS6,Z,17.1,11.1,14.4,20,331
2007,CADILLAC,XLR,TWO-SEATER,4.4,8,AS6,Z,17.7,11.5,14.9,19,343
2007,CADILLAC,XLR,TWO-SEATER,4.6,8,AS6,Z,15.7,9.6,13,22,299
2007,CHEVROLET,AVALANCHE,PICKUP TRUCK - STANDARD,5.3,8,A4,X,16.4,11.5,14.2,20,327
2007,CHEVROLET,AVALANCHE,PICKUP TRUCK - STANDARD,6,8,A4,X,18.1,13.4,16,18,368
2007,CHEVROLET,AVALANCHE 4X4,PICKUP TRUCK - STANDARD,6,8,A4,X,18.3,13.7,16.2,17,373
2007,CHEVROLET,AVALANCHE 4X4 FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,X,17.1,12.2,14.9,19,343
2007,CHEVROLET,AVALANCHE 4X4 FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,E,22.7,16.3,19.8,14,317
2007,CHEVROLET,AVALANCHE FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,X,16.7,11.9,14.5,19,334
2007,CHEVROLET,AVALANCHE FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,E,22.3,15.9,19.4,15,310
2007,CHEVROLET,AVEO,COMPACT,1.6,4,A4,X,10.4,7.5,9.1,31,209
2007,CHEVROLET,AVEO,COMPACT,1.6,4,M5,X,10.2,7.1,8.8,32,202
2007,CHEVROLET,AVEO 5,SUBCOMPACT,1.6,4,A4,X,10.4,7.5,9.1,31,209
2007,CHEVROLET,AVEO 5,SUBCOMPACT,1.6,4,M5,X,10.2,7.1,8.8,32,202
2007,CHEVROLET,COBALT,SUBCOMPACT,2.2,4,A4,X,11,7.9,9.6,29,221
2007,CHEVROLET,COBALT,SUBCOMPACT,2.2,4,M5,X,10.5,7.1,9,31,207
2007,CHEVROLET,COBALT,SUBCOMPACT,2.4,4,A4,Z,10.8,8,9.5,30,219
2007,CHEVROLET,COBALT,SUBCOMPACT,2.4,4,M5,Z,10.8,7.5,9.3,30,214
2007,CHEVROLET,COBALT #,SUBCOMPACT,2,4,M5,Z,11.9,8.5,10.4,27,239
2007,CHEVROLET,COLORADO,PICKUP TRUCK - STANDARD,2.9,4,A4,X,15.2,10.6,13.2,21,304
2007,CHEVROLET,COLORADO,PICKUP TRUCK - STANDARD,2.9,4,M5,X,13.9,9.8,12.1,23,278
2007,CHEVROLET,COLORADO,PICKUP TRUCK - STANDARD,3.7,5,A4,X,15.2,11,13.3,21,306
2007,CHEVROLET,COLORADO 4X4,PICKUP TRUCK - STANDARD,2.9,4,A4,X,16.1,11.2,13.9,20,320
2007,CHEVROLET,COLORADO 4X4,PICKUP TRUCK - STANDARD,2.9,4,M5,X,15.2,10.6,13.2,21,304
2007,CHEVROLET,COLORADO 4X4,PICKUP TRUCK - STANDARD,3.7,5,A4,X,16.1,11.3,13.9,20,320
2007,CHEVROLET,COLORADO CHASSIS CAB,PICKUP TRUCK - STANDARD,3.7,5,A4,X,16.9,13,15.2,19,350
2007,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK - STANDARD,2.9,4,A4,X,15.2,10.6,13.2,21,304
2007,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK - STANDARD,2.9,4,M5,X,13.9,9.8,12.1,23,278
2007,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK - STANDARD,3.7,5,A4,X,15.2,11,13.3,21,306
2007,CHEVROLET,COLORADO CREW CAB 4X4,PICKUP TRUCK - STANDARD,3.7,5,A4,X,16.1,11.5,14,20,322
2007,CHEVROLET,CORVETTE,TWO-SEATER,6,8,AS6,Z,15.2,9.3,12.5,23,288
2007,CHEVROLET,CORVETTE,TWO-SEATER,6,8,M6,Z,14.8,9,12.2,23,281
2007,CHEVROLET,CORVETTE,TWO-SEATER,7,8,M6,Z,15.9,9.7,13.1,22,301
2007,CHEVROLET,EQUINOX,SUV,3.4,6,A5,X,13.7,9.8,12,24,276
2007,CHEVROLET,EQUINOX AWD,SUV,3.4,6,A5,X,14.2,10.2,12.4,23,285
2007,CHEVROLET,EXPRESS CARGO,VAN - CARGO,4.3,6,A4,X,17.8,13.6,15.9,18,366
2007,CHEVROLET,EXPRESS CARGO,VAN - CARGO,5.3,8,A4,X,16.4,12.2,14.5,19,334
2007,CHEVROLET,EXPRESS CARGO AWD,VAN - CARGO,5.3,8,A4,X,17.7,13.3,15.7,18,361
2007,CHEVROLET,EXPRESS CARGO AWD FFV,VAN - CARGO,5.3,8,A4,X,17.9,14.1,16.2,17,373
2007,CHEVROLET,EXPRESS CARGO AWD FFV,VAN - CARGO,5.3,8,A4,E,23.5,18.4,21.2,13,339
2007,CHEVROLET,EXPRESS CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.1,13.7,16.1,18,370
2007,CHEVROLET,EXPRESS CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,19,14.9,17.2,16,396
2007,CHEVROLET,EXPRESS CARGO CONV AWD FFV,VAN - CARGO,5.3,8,A4,X,19.1,14.9,17.2,16,396
2007,CHEVROLET,EXPRESS CARGO CONV AWD FFV,VAN - CARGO,5.3,8,A4,E,25,20.1,22.8,12,365
2007,CHEVROLET,EXPRESS CARGO CONV FFV,VAN - CARGO,5.3,8,A4,X,18.6,14.1,16.6,17,382
2007,CHEVROLET,EXPRESS CARGO CONV FFV,VAN - CARGO,5.3,8,A4,E,24.6,19,22.1,13,354
2007,CHEVROLET,EXPRESS CARGO FFV,VAN - CARGO,5.3,8,A4,X,16.9,12.3,14.9,19,343
2007,CHEVROLET,EXPRESS CARGO FFV,VAN - CARGO,5.3,8,A4,E,22.1,16.1,19.4,15,310
2007,CHEVROLET,EXPRESS PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.1,13.7,16.1,18,370
2007,CHEVROLET,EXPRESS PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,19,14.9,17.2,16,396
2007,CHEVROLET,EXPRESS PASSENGER AWD FFV,VAN - PASSENGER,5.3,8,A4,X,19.1,14.9,17.2,16,396
2007,CHEVROLET,EXPRESS PASSENGER AWD FFV,VAN - PASSENGER,5.3,8,A4,E,25,20.1,22.8,12,365
2007,CHEVROLET,EXPRESS PASSENGER FFV,VAN - PASSENGER,5.3,8,A4,X,18.6,14.1,16.6,17,382
2007,CHEVROLET,EXPRESS PASSENGER FFV,VAN - PASSENGER,5.3,8,A4,E,24.6,19,22.1,13,354
2007,CHEVROLET,HHR,SUV,2.2,4,A4,X,11.8,8.6,10.4,27,239
2007,CHEVROLET,HHR,SUV,2.2,4,M5,X,11.8,8.1,10.1,28,232
2007,CHEVROLET,HHR,SUV,2.4,4,A4,Z,11.5,8.5,10.1,28,232
2007,CHEVROLET,HHR,SUV,2.4,4,M5,Z,11.8,8.3,10.2,28,235
2007,CHEVROLET,HHR PANEL,SUV,2.2,4,A4,X,11.6,8.5,10.2,28,235
2007,CHEVROLET,HHR PANEL,SUV,2.2,4,M5,X,11.8,8.1,10.1,28,232
2007,CHEVROLET,HHR PANEL,SUV,2.4,4,A4,Z,11.5,8.5,10.1,28,232
2007,CHEVROLET,HHR PANEL,SUV,2.4,4,M5,Z,11.8,8.5,10.3,27,237
2007,CHEVROLET,IMPALA,FULL-SIZE,3.5,6,A4,X,13,8.6,11,26,253
2007,CHEVROLET,IMPALA,FULL-SIZE,3.9,6,A4,X,13.4,8.9,11.4,25,262
2007,CHEVROLET,IMPALA,FULL-SIZE,5.3,8,A4,Z,14.5,9.6,12.3,23,283
2007,CHEVROLET,IMPALA FFV,FULL-SIZE,3.5,6,A4,X,12.8,8.3,10.8,26,248
2007,CHEVROLET,IMPALA FFV,FULL-SIZE,3.5,6,A4,E,16.5,10.9,14,20,224
2007,CHEVROLET,MALIBU,MID-SIZE,2.2,4,A4,X,11,7.5,9.4,30,216
2007,CHEVROLET,MALIBU,MID-SIZE,3.5,6,A4,X,12.3,8,10.4,27,239
2007,CHEVROLET,MALIBU,MID-SIZE,3.9,6,AS4,X,14.7,10.2,12.7,22,292
2007,CHEVROLET,MALIBU MAXX,FULL-SIZE,3.5,6,A4,X,13,8.6,11,26,253
2007,CHEVROLET,MALIBU MAXX,FULL-SIZE,3.9,6,AS4,X,15.2,10.5,13.1,22,301
2007,CHEVROLET,MONTE CARLO,MID-SIZE,3.5,6,A4,X,12.3,8,10.4,27,239
2007,CHEVROLET,MONTE CARLO,MID-SIZE,5.3,8,A4,Z,14.5,9.6,12.3,23,283
2007,CHEVROLET,MONTE CARLO FFV,MID-SIZE,3.5,6,A4,X,12.5,8.2,10.5,27,242
2007,CHEVROLET,MONTE CARLO FFV,MID-SIZE,3.5,6,A4,E,16.5,10.9,14,20,224
2007,CHEVROLET,OPTRA,COMPACT,2,4,A4,X,12.5,8.5,10.7,26,246
2007,CHEVROLET,OPTRA,COMPACT,2,4,M5,X,11.8,8.5,10.3,27,237
